competition,season_name,stage_name,round_name,group_id,home_team_id,away_team_id,kickoff_utc,attendance,stadium,ft_home_score,ft_away_score
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group A,Galatasaray S.K.,F.C. Copenhagen,2023-09-20T15:45:00Z,46911,,2,2
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group A,FC Bayern München,Manchester United F.C.,2023-09-20T19:00:00Z,75000,,4,3
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group A,Manchester United F.C.,Galatasaray S.K.,2023-10-03T19:00:00Z,73204,,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group A,F.C. Copenhagen,FC Bayern München,2023-10-03T19:00:00Z,35690,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group A,Galatasaray S.K.,FC Bayern München,2023-10-24T16:45:00Z,51776,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group A,Manchester United F.C.,F.C. Copenhagen,2023-10-24T19:00:00Z,73249,,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group A,FC Bayern München,Galatasaray S.K.,2023-11-08T19:00:00Z,75000,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group A,F.C. Copenhagen,Manchester United F.C.,2023-11-08T19:00:00Z,36099,,4,3
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group A,Galatasaray S.K.,Manchester United F.C.,2023-11-29T17:45:00Z,51733,,3,3
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group A,FC Bayern München,F.C. Copenhagen,2023-11-29T19:00:00Z,75000,,0,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group A,Manchester United F.C.,FC Bayern München,2023-12-12T19:00:00Z,73073,,0,1
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group A,F.C. Copenhagen,Galatasaray S.K.,2023-12-12T19:00:00Z,34726,,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group B,Sevilla FC,RC Lens,2023-09-20T19:00:00Z,33544,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group B,Arsenal F.C.,PSV Eindhoven,2023-09-20T19:00:00Z,58860,,4,0
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group B,RC Lens,Arsenal F.C.,2023-10-03T19:00:00Z,37040,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group B,PSV Eindhoven,Sevilla FC,2023-10-03T19:00:00Z,34206,,2,2
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group B,Sevilla FC,Arsenal F.C.,2023-10-24T19:00:00Z,39595,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group B,RC Lens,PSV Eindhoven,2023-10-24T19:00:00Z,38133,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group B,Arsenal F.C.,Sevilla FC,2023-11-08T19:00:00Z,60024,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group B,PSV Eindhoven,RC Lens,2023-11-08T19:00:00Z,34200,,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group B,Sevilla FC,PSV Eindhoven,2023-11-29T17:45:00Z,29403,,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group B,Arsenal F.C.,RC Lens,2023-11-29T19:00:00Z,59987,,6,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group B,RC Lens,Sevilla FC,2023-12-12T17:45:00Z,37456,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group B,PSV Eindhoven,Arsenal F.C.,2023-12-12T17:45:00Z,35000,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group C,Real Madrid,Union Berlin,2023-09-20T16:45:00Z,65207,,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group C,S.C. Braga,SSC Napoli,2023-09-20T19:00:00Z,18422,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group C,Union Berlin,S.C. Braga,2023-10-03T16:45:00Z,73445,Olympiastadion,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group C,SSC Napoli,Real Madrid,2023-10-03T19:00:00Z,51649,,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group C,S.C. Braga,Real Madrid,2023-10-24T19:00:00Z,29820,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group C,Union Berlin,SSC Napoli,2023-10-24T19:00:00Z,72062,Olympiastadion,0,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group C,SSC Napoli,Union Berlin,2023-11-08T17:45:00Z,42449,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group C,Real Madrid,S.C. Braga,2023-11-08T19:00:00Z,68509,,3,0
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group C,Real Madrid,SSC Napoli,2023-11-29T19:00:00Z,73562,,4,2
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group C,S.C. Braga,Union Berlin,2023-11-29T19:00:00Z,15855,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group C,SSC Napoli,S.C. Braga,2023-12-12T19:00:00Z,37841,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group C,Union Berlin,Real Madrid,2023-12-12T19:00:00Z,73420,Olympiastadion,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group D,Real Sociedad,Inter Milan,2023-09-20T19:00:00Z,36591,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group D,SL Benfica,FC Red Bull Salzburg,2023-09-20T19:00:00Z,60917,,0,2
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group D,FC Red Bull Salzburg,Real Sociedad,2023-10-03T16:45:00Z,28227,,0,2
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group D,Inter Milan,SL Benfica,2023-10-03T19:00:00Z,66573,,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group D,Inter Milan,FC Red Bull Salzburg,2023-10-24T16:45:00Z,71825,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group D,SL Benfica,Real Sociedad,2023-10-24T19:00:00Z,56002,,0,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group D,Real Sociedad,SL Benfica,2023-11-08T17:45:00Z,36815,,3,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group D,FC Red Bull Salzburg,Inter Milan,2023-11-08T19:00:00Z,30071,,0,1
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group D,SL Benfica,Inter Milan,2023-11-29T19:00:00Z,52944,,3,3
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group D,Real Sociedad,FC Red Bull Salzburg,2023-11-29T19:00:00Z,34419,,0,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group D,Inter Milan,Real Sociedad,2023-12-12T19:00:00Z,69010,,0,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group D,FC Red Bull Salzburg,SL Benfica,2023-12-12T19:00:00Z,27134,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group E,Feyenoord Rotterdam,Celtic F.C.,2023-09-19T19:00:00Z,44008,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group E,SS Lazio,Atlético Madrid,2023-09-19T19:00:00Z,46168,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group E,Atlético Madrid,Feyenoord Rotterdam,2023-10-04T16:45:00Z,61742,,3,2
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group E,Celtic F.C.,SS Lazio,2023-10-04T19:00:00Z,56063,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group E,Feyenoord Rotterdam,SS Lazio,2023-10-25T16:45:00Z,44031,,3,1
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group E,Celtic F.C.,Atlético Madrid,2023-10-25T19:00:00Z,55844,,2,2
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group E,Atlético Madrid,Celtic F.C.,2023-11-07T19:00:00Z,60863,,6,0
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group E,SS Lazio,Feyenoord Rotterdam,2023-11-07T19:00:00Z,36612,,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group E,SS Lazio,Celtic F.C.,2023-11-28T17:45:00Z,50555,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group E,Feyenoord Rotterdam,Atlético Madrid,2023-11-28T19:00:00Z,43992,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group E,Atlético Madrid,SS Lazio,2023-12-13T19:00:00Z,63574,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group E,Celtic F.C.,Feyenoord Rotterdam,2023-12-13T19:00:00Z,56391,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group F,AC Milan,Newcastle United F.C.,2023-09-19T16:45:00Z,65695,,0,0
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group F,Paris Saint-Germain,Borussia Dortmund,2023-09-19T19:00:00Z,47379,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group F,Borussia Dortmund,AC Milan,2023-10-04T19:00:00Z,81365,,0,0
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group F,Newcastle United F.C.,Paris Saint-Germain,2023-10-04T19:00:00Z,52009,,4,1
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group F,Paris Saint-Germain,AC Milan,2023-10-25T19:00:00Z,47356,,3,0
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group F,Newcastle United F.C.,Borussia Dortmund,2023-10-25T19:00:00Z,52024,,0,1
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group F,Borussia Dortmund,Newcastle United F.C.,2023-11-07T17:45:00Z,81365,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group F,AC Milan,Paris Saint-Germain,2023-11-07T19:00:00Z,75649,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group F,Paris Saint-Germain,Newcastle United F.C.,2023-11-28T19:00:00Z,46435,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group F,AC Milan,Borussia Dortmund,2023-11-28T19:00:00Z,75292,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group F,Borussia Dortmund,Paris Saint-Germain,2023-12-13T19:00:00Z,81365,,1,1
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group F,Newcastle United F.C.,AC Milan,2023-12-13T19:00:00Z,52037,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group G,BSC Young Boys,RB Leipzig,2023-09-19T16:45:00Z,31500,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group G,Manchester City F.C.,Red Star Belgrade,2023-09-19T19:00:00Z,50204,,3,1
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group G,RB Leipzig,Manchester City F.C.,2023-10-04T19:00:00Z,45228,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group G,Red Star Belgrade,BSC Young Boys,2023-10-04T19:00:00Z,47201,,2,2
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group G,RB Leipzig,Red Star Belgrade,2023-10-25T19:00:00Z,42209,,3,1
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group G,BSC Young Boys,Manchester City F.C.,2023-10-25T19:00:00Z,31500,,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group G,Manchester City F.C.,BSC Young Boys,2023-11-07T19:00:00Z,51049,,3,0
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group G,Red Star Belgrade,RB Leipzig,2023-11-07T19:00:00Z,41961,,1,2
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group G,Manchester City F.C.,RB Leipzig,2023-11-28T19:00:00Z,51402,,3,2
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group G,BSC Young Boys,Red Star Belgrade,2023-11-28T19:00:00Z,31500,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group G,RB Leipzig,BSC Young Boys,2023-12-13T17:45:00Z,43331,,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group G,Red Star Belgrade,Manchester City F.C.,2023-12-13T17:45:00Z,49443,,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group H,FC Barcelona,Royal Antwerp F.C.,2023-09-19T19:00:00Z,40989,Estadi Olímpic Lluís Companys,5,0
UEFA Champions League,2023/24,Group Stage,Matchday 1,Group H,FC Shakhtar Donetsk,FC Porto,2023-09-19T19:00:00Z,46729,Volksparkstadion,1,3
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group H,Royal Antwerp F.C.,FC Shakhtar Donetsk,2023-10-04T16:45:00Z,13509,,2,3
UEFA Champions League,2023/24,Group Stage,Matchday 2,Group H,FC Porto,FC Barcelona,2023-10-04T19:00:00Z,49722,,0,1
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group H,FC Barcelona,FC Shakhtar Donetsk,2023-10-25T16:45:00Z,41409,Estadi Olímpic Lluís Companys,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 3,Group H,Royal Antwerp F.C.,FC Porto,2023-10-25T19:00:00Z,13651,,1,4
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group H,FC Shakhtar Donetsk,FC Barcelona,2023-11-07T17:45:00Z,49147,Volksparkstadion,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 4,Group H,FC Porto,Royal Antwerp F.C.,2023-11-07T19:00:00Z,44830,,2,0
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group H,FC Shakhtar Donetsk,Royal Antwerp F.C.,2023-11-28T17:45:00Z,47209,Volksparkstadion,1,0
UEFA Champions League,2023/24,Group Stage,Matchday 5,Group H,FC Barcelona,FC Porto,2023-11-28T19:00:00Z,43533,Estadi Olímpic Lluís Companys,2,1
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group H,FC Porto,FC Shakhtar Donetsk,2023-12-13T19:00:00Z,48113,,5,3
UEFA Champions League,2023/24,Group Stage,Matchday 6,Group H,Royal Antwerp F.C.,FC Barcelona,2023-12-13T19:00:00Z,13550,,3,2