competition,season_name,stage_name,name,stage_round_order,two_legs
UEFA Champions League,2023/24,Group Stage,Matchday 1,1,false
UEFA Champions League,2023/24,Group Stage,Matchday 2,2,false
UEFA Champions League,2023/24,Group Stage,Matchday 3,3,false
UEFA Champions League,2023/24,Group Stage,Matchday 4,4,false
UEFA Champions League,2023/24,Group Stage,Matchday 5,5,false
UEFA Champions League,2023/24,Group Stage,Matchday 6,6,false
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 1st Leg,1,true
UEFA Champions League,2023/24,Knockout Phase,Round of 16 - 2st Leg,2,true
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 1st Leg,3,true
UEFA Champions League,2023/24,Knockout Phase,Quarter-finals - 2st Leg,4,true
UEFA Champions League,2023/24,Knockout Phase,Semi-finals - 1st Leg,5,true
UEFA Champions League,2023/24,Knockout Phase,Semi-finals - 2st Leg,6,true
UEFA Champions League,2023/24,Knockout Phase,Final,7,false